#lat,long,#line
48.78793,8.913532,1
48.78793,8.913533,2
48.78793,8.913533,3
48.78793,8.913533,4
48.78793,8.913534,5
48.78792,8.913537,6
48.78791,8.913535,7
48.78788,8.913542,8
48.7878,8.913565,9
48.78776,8.913592,10
48.7877,8.913593,11
48.7877,8.913594,12
48.7877,8.913594,13
48.78767,8.913599,14
48.78766,8.913609,15
48.7876,8.913651,16
48.78766,8.91372,17
48.78766,8.913794,18
48.78764,8.913852,19
48.78762,8.913899,20
48.7876,8.913938,21
48.7876,8.913985,22
48.78761,8.914033,23
48.78763,8.914075,24
48.78764,8.914116,25
48.78765,8.914156,26
48.78767,8.914193,27
48.78769,8.914226,28
48.7877,8.914271,29
48.78775,8.91433,30
48.78778,8.914401,31
48.78781,8.914473,32
48.7878,8.914546,33
48.78786,8.914622,34
48.78791,8.91469,35
48.78797,8.914725,36
48.78803,8.914712,37
48.78808,8.914652,38
48.78812,8.914561,39
48.78817,8.914456,40
48.7882,8.914348,41
48.78828,8.914227,42
48.78833,8.914104,43
48.78839,8.913982,44
48.78844,8.913858,45
48.7885,8.913734,46
48.78855,8.913609,47
48.7886,8.913484,48
48.78866,8.913363,49
48.78871,8.913246,50
48.78881,8.913136,51
48.78887,8.912939,52
48.7889,8.912847,53
48.789,8.912766,54
48.78908,8.912708,55
48.7891,8.912671,56
48.78928,8.91267,57
48.78939,8.912708,58
48.7895,8.912766,59
48.78963,8.912817,60
48.7899,8.912865,61
48.79005,8.912941,62
48.79021,8.912967,63
48.79038,8.912988,64
48.79055,8.912993,65
48.79073,8.912993,66
48.7909,8.912982,67
48.7911,8.912952,68
48.79189,8.91278,69
48.79209,8.912746,70
48.79229,8.912707,71
48.792,8.912675,72
48.7927,8.912646,73
48.7929,8.912616,74
48.79311,8.912602,75
48.79332,8.912596,76
48.79353,8.912597,77
48.7937,8.912626,78
48.79394,8.912669,79
48.79414,8.912728,80
48.79434,8.912792,81
48.79455,8.912847,82
48.7947,8.912888,83
48.7949,8.912902,84
48.79516,8.912888,85
48.79555,8.912797,86
48.79575,8.912747,87
48.79593,8.91269,88
48.79611,8.912633,89
48.79629,8.912577,90
48.79647,8.912523,91
48.79664,8.912466,92
48.79699,8.912414,93
48.79716,8.912315,94
48.79733,8.912268,95
48.79749,8.912218,96
48.7976,8.912168,97
48.79782,8.912121,98
48.79814,8.912076,99
48.79831,8.91198,100
48.79848,8.911933,101
48.7986,8.911885,102
48.79881,8.911837,103
48.79898,8.91179,104
48.79916,8.911742,105
48.79933,8.91169,106
48.7995,8.911639,107
48.79967,8.91159,108
48.79985,8.911542,109
48.80003,8.911493,110
48.8002,8.911443,111
48.80038,8.911392,112
48.80055,8.911344,113
48.80073,8.911299,114
48.8009,8.911266,115
48.80108,8.911249,116
48.80127,8.911248,117
48.80145,8.911259,118
48.80163,8.911274,119
48.80181,8.911304,120
48.80199,8.911343,121
48.80218,8.911385,122
48.80236,8.91143,123
48.80255,8.911475,124
48.80273,8.911522,125
48.80291,8.911565,126
48.80309,8.911606,127
48.80327,8.911645,128
48.80345,8.911675,129
48.80364,8.911714,130
48.80383,8.911755,131
48.80402,8.911797,132
48.80421,8.911837,133
48.80442,8.911874,134
48.80462,8.911882,135
48.80483,8.911864,136
48.80523,8.911831,137
48.80543,8.911686,138
48.80562,8.91159,139
48.80597,8.911364,140
48.80613,8.911238,141
48.8064,8.910948,142
48.80662,8.910798,143
48.80679,8.910653,144
48.8069,8.910533,145
48.80715,8.910417,146
48.80733,8.910316,147
48.80752,8.910217,148
48.8077,8.910118,149
48.80789,8.910015,150
48.80807,8.909909,151
48.80826,8.909804,152
48.80845,8.909695,153
48.8086,8.909591,154
48.80884,8.909488,155
48.80904,8.909378,156
48.80923,8.909267,157
48.80943,8.909159,158
48.8096,8.90905,159
48.80982,8.908944,160
48.81002,8.908845,161
48.81022,8.908755,162
48.81042,8.908688,163
48.81063,8.90863,164
48.81083,8.908585,165
48.81104,8.908548,166
48.81124,8.908526,167
48.81144,8.908518,168
48.81164,8.908523,169
48.81184,8.908537,170
48.81203,8.908555,171
48.81222,8.908573,172
48.8124,8.90859,173
48.81257,8.908616,174
48.81274,8.908648,175
48.8129,8.908706,176
48.8132,8.908805,177
48.81333,8.909043,178
48.81345,8.909186,179
48.81357,8.909328,180
48.81368,8.909462,181
48.8138,8.909584,182
48.81391,8.9097,183
48.81401,8.909805,184
48.8141,8.909898,185
48.81418,8.909982,186
48.81425,8.910064,187
48.81429,8.910165,188
48.81432,8.910296,189
48.8143,8.910443,190
48.8143,8.910605,191
48.81428,8.910761,192
48.81426,8.910922,193
48.81423,8.911085,194
48.8142,8.91125,195
48.81416,8.911422,196
48.81413,8.9116,197
48.8141,8.911783,198
48.81406,8.91197,199
48.81403,8.912161,200
48.81399,8.912341,201
48.81396,8.912508,202
48.81394,8.912666,203
48.81391,8.912812,204
48.81389,8.912948,205
48.81386,8.913073,206
48.81384,8.91319,207
48.81382,8.913298,208
48.8138,8.913396,209
48.8137,8.913487,210
48.81376,8.913564,211
48.81376,8.913662,212
48.8137,8.91369,213
48.8137,8.913705,214
48.8137,8.913705,215
48.8137,8.913705,216
48.8137,8.913705,217
48.8137,8.913705,218
48.81375,8.913705,219
48.81374,8.913717,220
48.81373,8.913761,221
48.81371,8.913831,222
48.8137,8.913921,223
48.81368,8.914014,224
48.81366,8.914111,225
48.81364,8.914213,226
48.81362,8.914328,227
48.81359,8.914456,228
48.8135,8.914597,229
48.81354,8.914739,230
48.81352,8.914882,231
48.81349,8.915033,232
48.81347,8.915193,233
48.81344,8.915363,234
48.8134,8.915539,235
48.81336,8.915724,236
48.81331,8.915915,237
48.81326,8.916108,238
48.8132,8.916303,239
48.81313,8.916492,240
48.81304,8.916676,241
48.81295,8.916857,242
48.81286,8.917034,243
48.812,8.917411,244
48.81261,8.917611,245
48.81254,8.917819,246
48.81248,8.918039,247
48.81244,8.918265,248
48.81241,8.918495,249
48.8124,8.918732,250
48.8124,8.918971,251
48.81241,8.919208,252
48.81242,8.919438,253
48.8124,8.919666,254
48.81247,8.919895,255
48.81248,8.92012,256
48.81246,8.920569,257
48.81243,8.920791,258
48.81239,8.921009,259
48.81235,8.921222,260
48.8123,8.921429,261
48.81227,8.921635,262
48.81224,8.921842,263
48.8122,8.922049,264
48.81217,8.922245,265
48.81215,8.922426,266
48.81212,8.922584,267
48.8121,8.922721,268
48.81209,8.922836,269
48.81207,8.922934,270
48.81206,8.923014,271
48.81205,8.923072,272
48.81204,8.923114,273
48.81204,8.923142,274
48.81204,8.923156,275
48.81204,8.923156,276
48.81204,8.923156,277
48.81204,8.923156,278
48.81204,8.923156,279
48.81204,8.923156,280
48.81204,8.923156,281
48.81204,8.923156,282
48.81204,8.923156,283
48.81204,8.923156,284
48.81204,8.923156,285
48.81204,8.923156,286
48.81204,8.923156,287
48.81204,8.923156,288
48.81204,8.923156,289
48.81204,8.923156,290
48.81204,8.923156,291
48.81204,8.923156,292
48.81204,8.923156,293
48.81204,8.923156,294
48.81204,8.923156,295
48.81204,8.923156,296
48.81204,8.923156,297
48.81204,8.923156,298
48.81204,8.923156,299
48.81204,8.923156,300
48.81204,8.923156,301
48.81204,8.923156,302
48.81203,8.92317,303
48.812,8.923225,304
48.81199,8.923423,305
48.81197,8.923546,306
48.81195,8.923688,307
48.81192,8.92386,308
48.8119,8.924048,309
48.81187,8.924245,310
48.81185,8.92445,311
48.81182,8.924666,312
48.81181,8.924886,313
48.81179,8.925114,314
48.81179,8.92534,315
48.81179,8.925566,316
48.8118,8.925787,317
48.8118,8.926003,318
48.81181,8.926213,319
48.81182,8.926418,320
48.81183,8.926619,321
48.81185,8.926803,322
48.81187,8.926965,323
48.81188,8.92712,324
48.81185,8.927254,325
48.81179,8.927375,326
48.81169,8.927474,327
48.81158,8.927553,328
48.81148,8.927636,329
48.81139,8.927732,330
48.8113,8.927836,331
48.81122,8.927941,332
48.81116,8.928067,333
48.81111,8.928222,334
48.81107,8.928394,335
48.81103,8.928581,336
48.81097,8.928989,337
48.81094,8.929207,338
48.81086,8.929432,339
48.8108,8.929887,340
48.81077,8.93012,341
48.81073,8.930358,342
48.81068,8.930601,343
48.81064,8.930846,344
48.81059,8.931096,345
48.81054,8.931345,346
48.8105,8.931591,347
48.81046,8.931835,348
48.81042,8.932075,349
48.81038,8.932312,350
48.8103,8.932549,351
48.81029,8.932782,352
48.8102,8.933013,353
48.8102,8.933244,354
48.81016,8.933477,355
48.81012,8.933714,356
48.81008,8.933948,357
48.81004,8.93418,358
48.81,8.934408,359
48.80996,8.934631,360
48.80992,8.934848,361
48.80989,8.935062,362
48.8098,8.935269,363
48.80982,8.935469,364
48.80979,8.935658,365
48.80977,8.935826,366
48.80974,8.93598,367
48.80972,8.936128,368
48.80969,8.936272,369
48.80966,8.936416,370
48.80964,8.936556,371
48.80959,8.936689,372
48.80957,8.936943,373
48.80956,8.937073,374
48.80955,8.937209,375
48.80955,8.937354,376
48.80953,8.937507,377
48.80951,8.937666,378
48.80949,8.937829,379
48.80947,8.937991,380
48.80942,8.938149,381
48.80936,8.938562,382
48.80934,8.938703,383
48.80931,8.93885,384
48.80927,8.939003,385
48.80924,8.939164,386
48.80921,8.939329,387
48.80918,8.939496,388
48.8091,8.93967,389
48.80906,8.940022,390
48.80902,8.940194,391
48.80899,8.940367,392
48.80897,8.940535,393
48.80894,8.94069,394
48.80891,8.940839,395
48.80888,8.940984,396
48.80885,8.941131,397
48.80883,8.94128,398
48.8088,8.941433,399
48.80877,8.941588,400
48.80875,8.941743,401
48.80873,8.941892,402
48.8087,8.942035,403
48.80868,8.942176,404
48.80866,8.942318,405
48.80864,8.94246,406
48.80862,8.942599,407
48.8086,8.942741,408
48.80858,8.942883,409
48.80856,8.94302,410
48.80854,8.943138,411
48.80851,8.943228,412
48.80848,8.94329,413
48.80843,8.943316,414
48.80838,8.943315,415
48.80834,8.943259,416
48.80828,8.943146,417
48.80821,8.943017,418
48.80814,8.942889,419
48.80807,8.942767,420
48.808,8.942662,421
48.8079,8.942586,422
48.80788,8.942551,423
48.80788,8.942518,424
48.80787,8.942518,425
48.80786,8.942514,426
48.80783,8.942512,427
48.80777,8.942512,428
48.80771,8.942517,429
48.80764,8.942528,430
48.80757,8.942538,431
48.80751,8.942543,432
48.80745,8.942533,433
48.80739,8.942515,434
48.80733,8.942493,435
48.80727,8.942469,436
48.80715,8.942423,437
48.8071,8.942402,438
48.807,8.942381,439
48.807,8.942362,440
48.80695,8.942345,441
48.80691,8.942328,442
48.80688,8.942312,443
48.80684,8.942296,444
48.80681,8.942282,445
48.80678,8.94227,446
48.80675,8.942257,447
48.80673,8.942247,448
48.80672,8.942238,449
48.80672,8.942234,450
48.80672,8.942234,451
48.80672,8.942234,452
48.80669,8.942234,453
48.80665,8.942225,454
48.80659,8.942207,455
48.80654,8.942179,456
48.80645,8.942152,457
48.80638,8.942106,458
48.8063,8.942057,459
48.8062,8.942,460
48.80611,8.941935,461
48.80601,8.941867,462
48.80578,8.941798,463
48.80566,8.941669,464
48.80553,8.941608,465
48.8054,8.941546,466
48.80528,8.941482,467
48.80515,8.941418,468
48.80502,8.941347,469
48.80489,8.941271,470
48.80476,8.941194,471
48.80462,8.941114,472
48.80448,8.941033,473
48.80405,8.940787,474
48.8039,8.94071,475
48.80375,8.94064,476
48.80359,8.940588,477
48.80342,8.940546,478
48.8032,8.940512,479
48.80308,8.940486,480
48.80291,8.940462,481
48.8027,8.940437,482
48.80256,8.940416,483
48.80238,8.940392,484
48.8022,8.940367,485
48.802,8.94034,486
48.80183,8.940312,487
48.8016,8.940287,488
48.80148,8.940264,489
48.8013,8.94024,490
48.80113,8.940211,491
48.80095,8.940186,492
48.80077,8.940161,493
48.8006,8.940135,494
48.80042,8.940108,495
48.80024,8.940085,496
48.80007,8.940066,497
48.79989,8.940044,498
48.79972,8.940019,499
48.79954,8.940006,500
48.79919,8.939979,501
48.79919,8.939924,502
48.7988,8.939924,503
48.7986,8.939862,504
48.79847,8.939821,505
48.7982,8.939764,506
48.7981,8.939697,507
48.79791,8.939619,508
48.79773,8.939522,509
48.7975,8.939407,510
48.79739,8.939272,511
48.79724,8.939129,512
48.79709,8.938966,513
48.79682,8.938585,514
48.79669,8.93838,515
48.79656,8.938163,516
48.79643,8.93794,517
48.79589,8.937074,518
48.79573,8.936885,519
48.79557,8.936716,520
48.79539,8.936559,521
48.79521,8.936406,522
48.79504,8.936269,523
48.79487,8.936142,524
48.7947,8.935999,525
48.79455,8.935843,526
48.79439,8.935679,527
48.79423,8.935506,528
48.79409,8.935329,529
48.79395,8.935141,530
48.79382,8.934935,531
48.79369,8.934714,532
48.7935,8.934475,533
48.7934,8.934226,534
48.79336,8.933958,535
48.79314,8.93369,536
48.79302,8.933141,537
48.79289,8.932872,538
48.79276,8.932613,539
48.79262,8.93236,540
48.79248,8.932121,541
48.79233,8.931893,542
48.79219,8.931673,543
48.79204,8.931455,544
48.79189,8.931246,545
48.79174,8.931047,546
48.79159,8.930849,547
48.79144,8.930658,548
48.79129,8.930472,549
48.7911,8.93029,550
48.79098,8.930104,551
48.79083,8.929917,552
48.79068,8.929731,553
48.79053,8.92955,554
48.79038,8.929369,555
48.79023,8.929188,556
48.78958,8.928481,557
48.7894,8.92833,558
48.78921,8.92819,559
48.78901,8.928074,560
48.78881,8.927971,561
48.7886,8.927877,562
48.78838,8.927815,563
48.78818,8.927766,564
48.78797,8.92774,565
48.78776,8.927738,566
48.78756,8.927757,567
48.7873,8.927797,568
48.78717,8.927857,569
48.78698,8.927932,570
48.78678,8.928021,571
48.78659,8.928131,572
48.78622,8.928252,573
48.78604,8.928547,574
48.7858,8.928693,575
48.78568,8.928835,576
48.7855,8.928979,577
48.78533,8.929121,578
48.78516,8.92925,579
48.78499,8.929379,580
48.78482,8.929511,581
48.78465,8.929644,582
48.78448,8.929783,583
48.7843,8.929918,584
48.7841,8.930053,585
48.78398,8.930182,586
48.78382,8.930324,587
48.78367,8.930467,588
48.78351,8.93062,589
48.78335,8.930778,590
48.78319,8.930914,591
48.78302,8.931042,592
48.78285,8.931133,593
48.78268,8.931206,594
48.78251,8.93125,595
48.78234,8.931267,596
48.78217,8.931265,597
48.78201,8.931245,598
48.78185,8.9312,599
48.7817,8.931126,600
48.78156,8.931032,601
48.78143,8.930913,602
48.78132,8.930778,603
48.78121,8.930639,604
48.78111,8.930478,605
48.78101,8.930307,606
48.78092,8.930128,607
48.78083,8.929945,608
48.78076,8.929752,609
48.7807,8.929532,610
48.78064,8.929303,611
48.78062,8.928833,612
48.78062,8.928589,613
48.78062,8.928341,614
48.78062,8.928091,615
48.7806,8.927842,616
48.78062,8.927333,617
48.78063,8.927078,618
48.78063,8.926823,619
48.78063,8.926577,620
48.78063,8.92633,621
48.78062,8.926084,622
48.78063,8.92583,623
48.78063,8.92557,624
48.78063,8.925309,625
48.78062,8.925049,626
48.78061,8.924785,627
48.7805,8.924523,628
48.78056,8.924267,629
48.78052,8.924015,630
48.78048,8.923765,631
48.78044,8.923521,632
48.7804,8.923276,633
48.78034,8.923028,634
48.78029,8.922788,635
48.78017,8.922554,636
48.78014,8.921861,637
48.78012,8.921631,638
48.7801,8.921413,639
48.7801,8.921223,640
48.78011,8.921066,641
48.78012,8.920931,642
48.78013,8.920807,643
48.78012,8.920688,644
48.78008,8.920574,645
48.78,8.920466,646
48.78,8.920346,647
48.77998,8.920208,648
48.77996,8.920045,649
48.77995,8.91987,650
48.77993,8.919694,651
48.779,8.919286,652
48.77987,8.919054,653
48.77985,8.918807,654
48.77982,8.918543,655
48.7797,8.918273,656
48.77974,8.917718,657
48.77971,8.917439,658
48.77967,8.917165,659
48.7796,8.916892,660
48.77957,8.916341,661
48.77954,8.916066,662
48.77951,8.915793,663
48.7794,8.915518,664
48.77944,8.915243,665
48.77941,8.914966,666
48.77938,8.914689,667
48.77934,8.914413,668
48.77931,8.914139,669
48.7792,8.913864,670
48.77924,8.913588,671
48.77922,8.913311,672
48.7792,8.91303,673
48.77917,8.91275,674
48.77914,8.912471,675
48.77911,8.912194,676
48.77908,8.911921,677
48.77905,8.911653,678
48.77902,8.911394,679
48.77897,8.910895,680
48.77896,8.910653,681
48.77897,8.910409,682
48.77899,8.910164,683
48.77903,8.909918,684
48.77908,8.909677,685
48.7791,8.909438,686
48.77924,8.909207,687
48.77943,8.908995,688
48.77951,8.90861,689
48.7796,8.908443,690
48.77966,8.908319,691
48.77972,8.908219,692
48.77984,8.908143,693
48.7799,8.908057,694
48.77997,8.908038,695
48.78003,8.908025,696
48.78014,8.908002,697
48.78018,8.907878,698
48.78024,8.907771,699
48.78032,8.907662,700
48.7804,8.907574,701
48.78051,8.907497,702
48.78062,8.907435,703
48.78073,8.907384,704
48.78085,8.90734,705
48.78099,8.907304,706
48.78113,8.907286,707
48.78128,8.907289,708
48.78143,8.907308,709
48.78158,8.907337,710
48.78173,8.907386,711
48.78187,8.907448,712
48.782,8.907534,713
48.78216,8.907625,714
48.78229,8.907735,715
48.78243,8.907867,716
48.78256,8.908013,717
48.7827,8.908163,718
48.78284,8.908314,719
48.78298,8.908467,720
48.78312,8.90862,721
48.78326,8.908766,722
48.78341,8.908905,723
48.78357,8.909027,724
48.78372,8.909131,725
48.78388,8.909222,726
48.78404,8.909303,727
48.78421,8.909366,728
48.78437,8.909414,729
48.7845,8.909464,730
48.78485,8.909525,731
48.78514,8.909704,732
48.78529,8.909985,733
48.78544,8.910131,734
48.7856,8.910266,735
48.78576,8.910378,736
48.78592,8.910474,737
48.786,8.91055,738
48.78625,8.91063,739
48.7864,8.91072,740
48.78656,8.910821,741
48.78672,8.910927,742
48.78688,8.911035,743
48.787,8.911147,744
48.78719,8.911257,745
48.78735,8.911369,746
48.7875,8.911473,747
48.78766,8.911578,748
48.78781,8.911682,749
48.78796,8.911786,750
48.7881,8.911885,751
48.78823,8.911988,752
48.78836,8.912085,753
48.78847,8.912171,754
48.78857,8.912254,755
48.78866,8.912318,756
48.78873,8.91238,757
48.78877,8.912455,758
48.7888,8.912556,759
48.78881,8.912669,760
48.78879,8.912795,761
48.78876,8.912929,762
48.78871,8.913069,763
48.78865,8.913207,764
48.78858,8.913345,765
48.78851,8.913487,766
48.78844,8.913627,767
48.7883,8.913771,768
48.78823,8.914055,769
48.78815,8.91419,770
48.78808,8.914319,771
48.78803,8.914434,772
48.78794,8.914525,773
48.78789,8.914646,774
48.78784,8.914661,775
48.78781,8.914642,776
48.78779,8.914588,777
48.7877,8.91452,778
48.78774,8.914453,779
48.7877,8.914385,780
48.78769,8.914316,781
48.78766,8.914249,782
48.78763,8.914182,783
48.7876,8.91412,784
48.78757,8.914056,785
48.78756,8.913989,786
48.78761,8.91392,787
48.78762,8.913817,788
48.78761,8.913765,789
48.78761,8.913713,790
48.78761,8.913665,791
48.78763,8.913622,792
48.78766,8.913591,793
48.78768,8.913572,794
48.7876,8.91356,795
48.78771,8.913554,796
48.78771,8.913555,797
48.78771,8.913555,798
48.78771,8.913555,799
48.78771,8.913555,800
48.78772,8.913555,801
48.78773,8.91358,802
48.78773,8.913593,803
48.78773,8.913593,804
48.78773,8.913593,805
48.78773,8.913593,806
48.78773,8.913593,807
48.78773,8.913593,808
48.78773,8.913593,809
48.78773,8.913593,810
48.78773,8.913593,811
48.78773,8.913593,812
48.78773,8.913593,813
48.78773,8.913593,814
48.78773,8.913593,815
48.78773,8.913593,816
48.78773,8.913593,817
48.78773,8.913593,818
48.78773,8.913593,819
48.78773,8.913593,820
48.78773,8.913593,821
48.78773,8.913593,822
48.78773,8.913593,823
48.78773,8.913593,824
48.78773,8.913593,825
48.78773,8.913593,826
48.78773,8.913593,827
48.78773,8.913593,828
48.78773,8.913593,829
48.78773,8.913593,830
48.78773,8.913593,831
48.78773,8.913593,832
48.78773,8.913593,833
48.78773,8.913593,834
48.78773,8.913593,835
48.78773,8.913593,836
48.78773,8.913593,837
48.78773,8.913593,838
48.78773,8.913593,839
